Dates Flux Xpos Ypos
2456778.748951233 6677.358 484.008 536.949
2456778.769382932 6498.826 484.65 537.366
2456778.789814432 6598.856 484.792 537.32
2456778.810246032 6618.717 484.707 537.28
2456778.830677632 6610.684 484.663 537.249
2456778.851109232 6607.65 484.529 537.284
2456778.871540932 6610.535 484.439 537.233
2456778.891972432 6593.59 484.391 537.207
2456778.912404033 6607.68 484.328 537.169
2456778.932835733 6645.164 484.253 537.113
2456778.953267234 6626.091 484.199 537.072
2456778.973698834 6647.005 484.141 537.035
2456778.994130535 6675.69 484.064 536.981
2456779.014562035 6395.071 484.758 537.424
2456779.034993636 6617.733 484.877 537.511
2456779.055425337 6619.29 484.805 537.461
2456779.075856938 6640.927 484.838 537.387
2456779.096288539 6631.963 484.78 537.321
2456779.11672014 6660.359 484.7 537.269
2456779.137151741 6635.278 484.646 537.239
2456779.157583343 6636.181 484.502 537.259
2456779.178014944 6630.187 484.405 537.217
2456779.198446545 6621.213 484.358 537.179
2456779.218878247 6641.274 484.282 537.139
2456779.239309749 6661.226 484.209 537.076
2456779.280173052 6634.694 484.815 537.444
2456779.300604554 6637.23 484.777 537.445
2456779.321036255 6661.694 484.756 537.424
2456779.341467858 6644.019 484.801 537.335
2456779.36189936 6644.478 484.774 537.311
2456779.382331062 6670.796 484.745 537.283
2456779.402762664 6669.752 484.698 537.27
2456779.423194166 6659.067 484.657 537.25
2456779.443625869 6654.785 484.545 537.304
2456779.464057471 6660.537 484.506 537.263
2456779.484488974 6664.608 484.483 537.247
2456779.504920675 6659.044 484.461 537.228
2456779.525352178 6648.975 484.424 537.193
2456779.545783881 6655.081 484.368 537.193
2456779.566215484 6649.396 484.344 537.165
2456779.586647087 6644.241 484.282 537.143
2456779.60707869 6660.801 484.254 537.12
2456779.627510293 6680.115 484.229 537.071
2456779.647941897 6682.612 484.168 537.052
2456779.6683735 6708.025 484.137 537.027
2456779.688805103 6725.119 484.085 537.004
2456779.709236707 6729.097 484.044 536.969
2456779.72966831 6746.471 484.05 536.951
2456779.750099914 6624.667 484.5 537.258
2456779.770531618 6677.592 484.516 537.271
2456779.790963222 6662.809 484.489 537.249
2456779.811394725 6673.031 484.437 537.229
2456779.831826429 6658.483 484.413 537.198
2456779.852258034 6665.99 484.368 537.185
2456779.872689538 6664.291 484.319 537.149
2456779.893121242 6671.909 484.264 537.125
2456779.913552846 6761.624 484.239 537.111
2456779.933984351 6692.569 484.186 537.057
2456779.954416056 6691.583 484.183 537.028
2456779.97484766 6709.53 484.131 537.009
2456779.995279365 6593.384 484.683 537.381
2456780.01571087 6671.99 484.809 537.331
2456780.036142475 6676.502 484.795 537.321
2456780.05657418 6684.698 484.743 537.285
2456780.077005685 6690.339 484.705 537.278
2456780.09743729 6696.094 484.677 537.249
2456780.117868895 6675.209 484.629 537.2
2456780.1383005 6691.893 484.509 537.255
2456780.158732106 6670.315 484.462 537.234
2456780.179163811 6661.066 484.395 537.193
2456780.199595317 6657.294 484.355 537.175
2456780.220027023 6664.745 484.317 537.138
2456780.240458629 6647.479 484.396 537.194
2456780.260890135 6670.411 484.391 537.195
2456780.28132184 6674.652 484.321 537.156
2456780.301753446 6667.237 484.272 537.119
2456780.322184953 6688.729 484.228 537.085
2456780.342616659 6719.366 484.161 537.037
2456780.363048265 6716.787 484.119 537.009
2456780.383479772 6715.547 484.08 536.978
2456780.403911478 6733.587 484.01 536.935
2456780.424343085 6739.929 483.969 536.919
2456780.444774792 6730.677 483.929 536.896
2456780.465206299 6698.745 483.878 536.849
2456780.485637906 6584.636 484.366 537.161
2456780.506069613 6654.334 484.379 537.179
2456780.52650112 6652.766 484.304 537.134
2456780.546932727 6665.017 484.246 537.099
2456780.567364434 6682.336 484.167 537.045
2456780.587795942 6709.316 484.109 537.0
2456780.608227549 6714.827 484.071 536.981
2456780.628659257 6735.963 484.018 536.938
2456780.649090765 6722.213 483.961 536.916
2456780.669522472 6724.796 483.924 536.879
2456780.68995408 6696.38 483.865 536.837
2456780.710385688 6683.343 483.812 536.819
2456780.730817297 6579.506 484.467 537.23
2456780.751248905 6665.041 484.498 537.248
2456780.771680513 6668.803 484.441 537.225
2456780.792112121 6656.02 484.375 537.184
2456780.81254373 6655.794 484.323 537.139
2456780.832975338 6656.561 484.271 537.111
2456780.853406947 6682.671 484.196 537.072
2456780.873838556 6705.588 484.158 537.022
2456780.894270164 6718.846 484.094 536.993
2456780.914701774 6731.692 484.026 536.948
2456780.935133383 6735.023 483.984 536.912
2456780.955565092 6716.094 483.914 536.883
2456780.975996601 6520.841 484.667 537.358
2456780.99642821 6674.702 484.835 537.372
2456781.01685992 6679.01 484.75 537.294
2456781.037291429 6692.597 484.711 537.256
2456781.057723039 6678.13 484.664 537.23
2456781.078154749 6673.738 484.509 537.259
2456781.098586259 6673.165 484.47 537.23
2456781.119017969 6671.187 484.412 537.209
2456781.139449579 6661.401 484.359 537.166
2456781.159881089 6655.389 484.312 537.142
2456781.180312799 6667.486 484.244 537.09
2456781.20074441 6700.628 484.193 537.05
2456781.241607631 6678.36 484.513 537.218
2456781.262039242 6664.766 484.518 537.249
2456781.282470853 6685.842 484.481 537.238
2456781.302902463 6664.015 484.449 537.226
2456781.323334075 6680.819 484.437 537.216
2456781.343765785 6661.371 484.4 537.193
2456781.364197297 6673.238 484.37 537.172
2456781.384628908 6665.973 484.345 537.161
2456781.40506062 6670.815 484.294 537.132
2456781.425492231 6658.562 484.256 537.113
2456781.445923743 6672.682 484.239 537.084
2456781.466355455 6659.208 484.605 537.309
2456781.486786966 6701.186 484.731 537.262
2456781.507218678 6687.756 484.698 537.223
2456781.52765029 6674.159 484.555 537.281
2456781.548081902 6687.331 484.529 537.267
2456781.568513515 6681.211 484.476 537.24
2456781.588945127 6690.431 484.44 537.225
2456781.60937664 6675.905 484.423 537.202
2456781.629808352 6693.284 484.392 537.181
2456781.650239965 6675.846 484.363 537.167
2456781.670671478 6669.101 484.313 537.137
2456781.691103191 6681.498 484.27 537.117
2456781.711534804 6653.589 484.453 537.209
2456781.731966517 6683.221 484.426 537.194
2456781.75239803 6679.389 484.371 537.169
2456781.772829643 6670.201 484.337 537.15
2456781.793261357 6683.346 484.278 537.113
2456781.813692871 6687.233 484.249 537.094
2456781.834124484 6699.858 484.226 537.066
2456781.854556198 6723.766 484.164 537.033
2456781.874987712 6725.219 484.134 537.015
2456781.895419326 6742.978 484.077 536.985
2456781.91585104 6754.422 484.04 536.952
2456781.936282654 6763.245 484.021 536.925
2456781.956714269 6654.126 484.428 537.185
2456781.977145883 6679.463 484.44 537.21
2456781.997577498 6683.736 484.387 537.183
2456782.018009113 6672.19 484.32 537.144
2456782.038440727 6689.029 484.29 537.122
2456782.058872342 6697.171 484.226 537.077
2456782.079304057 6727.268 484.161 537.039
2456782.099735572 6750.558 484.111 537.005
2456782.120167187 6761.016 484.049 536.935
2456782.140598903 6770.912 483.998 536.919
2456782.161030419 6762.404 483.942 536.877
2456782.181462134 6738.183 483.872 536.851
2456782.20189375 6633.127 484.33 537.157
2456782.222325265 6688.462 484.359 537.152
2456782.242756981 6699.259 484.295 537.119
2456782.263188498 6710.542 484.243 537.077
2456782.283620114 6723.715 484.173 537.042
2456782.30405183 6760.999 484.123 537.005
2456782.324483347 6761.371 484.066 536.962
2456782.344915063 6782.645 483.993 536.919
2456782.365346679 6764.37 483.948 536.897
